Data,Open,High,Low,Close
3/7/2008,2823.02,2842.63,2781.16,2822.85
3/10/2008,2823.27,2892.21,2812.38,2873.23
3/11/2008,2859.67,2960.47,2859.08,2949.43
3/12/2008,2981.03,2981.03,2933.7,2962.39
3/13/2008,2897.05,2901.75,2858.4,2868.92
3/14/2008,2880.39,2914.59,2834.87,2842.56
3/17/2008,2790.34,2796.36,2716.57,2741.73
3/18/2008,2759.58,2872.75,2750.89,2872.75
3/19/2008,2874.75,2898.15,2824.74,2892.62
3/20/2008,2850.94,2897.71,2820.93,2821.3
3/25/2008,2934.87,2947.91,2904.25,2936.31
3/26/2008,2932.23,2960.28,2923.73,2942.84
3/27/2008,2976.39,3009.2,2964.5,2986.55
3/28/2008,2961.98,2995.42,2948.76,2977.82
3/31/2008,2944.9,2996.29,2921.68,2981.07
4/1/2008,2969.11,3029.42,2964.72,3028.85
4/2/2008,3058.87,3069.04,3004.81,3013.53
4/3/2008,3009.66,3027.06,2971.57,2985.91
4/4/2008,2990.2,3039.78,2985.01,3025.98
4/7/2008,3055.79,3074.98,3044.35,3050.49
4/8/2008,3034.42,3034.42,2993.96,3001.62
4/9/2008,2991.9,3034.48,2989.24,3023.92
4/10/2008,3010.19,3027.68,2980.65,2988.72
4/11/2008,3018.69,3031.9,2892.11,2892.63
4/14/2008,2883.14,2906.2,2838.81,2873.15
4/15/2008,2882.94,2915.53,2857.27,2912.18
4/16/2008,2917.39,2948.48,2896.99,2928.69
4/17/2008,2942.87,2952.75,2897.84,2922.7
4/18/2008,2920.54,2971.63,2909.91,2971.63
4/21/2008,2966.68,2985.75,2931.45,2940.33
4/22/2008,2943.04,2945.06,2851.82,2902.05
4/23/2008,2891.48,2904.12,2833.31,2837.53
4/24/2008,2857.64,2895.58,2837.92,2885.22
4/25/2008,2902.05,2920.27,2889.74,2897.2
4/28/2008,2926.67,2941.99,2917.14,2938.65
4/29/2008,2928.94,2935.44,2880.24,2884.58
4/30/2008,2876.85,2922.59,2867.24,2922.59
5/5/2008,2969.96,2984.77,2950.09,2979.09
5/6/2008,2997.65,3003.64,2970.37,2984.34
5/7/2008,3000.04,3051.98,2997.49,3043.52
5/8/2008,3006.52,3026.54,2985.81,3006.15
5/9/2008,3006.4,3010.37,2982.67,2998.59
5/12/2008,3028.47,3041.99,3024.08,3032.95
5/13/2008,3032.93,3035.65,3014.63,3024.03
5/14/2008,3055.12,3068.51,3042.44,3056.51
5/15/2008,3029.09,3045.95,3011.25,3016.91
5/16/2008,3039.05,3050.13,3023.6,3032.89
5/19/2008,3019.02,3022.76,2974.93,2995.52
5/20/2008,2996.43,2996.43,2942.29,2944.56
5/21/2008,2941.15,2970.28,2917.34,2947.47
5/23/2008,2924.49,2929.99,2888.7,2908.59
5/26/2008,2904.26,2925.47,2898.85,2915.88
5/27/2008,2932.44,2934.15,2903.91,2909.46
5/28/2008,2924.49,2953.46,2917.77,2933.31
5/29/2008,2953.85,2957.22,2891.54,2906.13
5/30/2008,2922.09,2932.75,2905.28,2905.28
6/2/2008,2909.89,2910.68,2883.01,2892.23
6/3/2008,2877.54,2926.41,2877.54,2921.5
6/4/2008,2907.99,2912.69,2862.27,2862.27
6/5/2008,2872.91,2898.93,2872.02,2888.99
6/6/2008,2930.48,2948.34,2864.57,2864.57
6/9/2008,2832.64,2837.51,2795.71,2812.83
6/10/2008,2765.56,2777.37,2713.69,2733.42
6/11/2008,2746.28,2746.28,2669.17,2672.65
6/12/2008,2668.77,2719.18,2668.77,2718.08
6/13/2008,2693.85,2736.2,2676.01,2729.32
6/16/2008,2755.82,2755.82,2690.92,2697.54
6/17/2008,2714.91,2747.6,2710.17,2716.08
6/18/2008,2691.05,2709.58,2669.97,2674.97
6/19/2008,2625.24,2725.07,2625,2713.72
6/20/2008,2727.26,2750.43,2686.78,2686.78
6/23/2008,2706.46,2730.69,2633.97,2633.97
6/24/2008,2665.28,2666.92,2616.88,2637.24
6/25/2008,2656.27,2666.47,2628.05,2646.18
6/26/2008,2643.5,2667.08,2622.99,2662.89
6/27/2008,2603.05,2627.86,2590.05,2598.81
6/30/2008,2621.66,2632.91,2579.63,2591.09
7/1/2008,2591.96,2599.15,2536.25,2558.49
7/2/2008,2555.28,2574.84,2550.33,2561.89
7/3/2008,2531.43,2569.77,2517.28,2553.34
7/4/2008,2545.66,2550.77,2519.17,2523.37
7/7/2008,2537.62,2547.13,2505.66,2534.04
7/8/2008,2497.13,2549.94,2482.44,2549.94
7/9/2008,2575.55,2592.63,2563.98,2588.55
7/10/2008,2553.48,2609.13,2552.3,2557.66
7/11/2008,2579.52,2586.41,2503.07,2517.32
7/14/2008,2538.72,2551.68,2503.26,2520.69
7/15/2008,2482.48,2511.83,2441.75,2445.11
7/16/2008,2436.64,2448.55,2404.06,2412.28
7/17/2008,2471.88,2503.65,2448.51,2499.53
7/18/2008,2489.68,2522.55,2459.36,2508.53
7/21/2008,2493.49,2577.92,2489.15,2577.77
7/22/2008,2561.55,2577.72,2542.85,2577.06
7/23/2008,2601.71,2634.01,2597.48,2627.98
7/24/2008,2627.69,2645.39,2601.93,2603.9
7/25/2008,2570.39,2638.15,2559.16,2631.8
7/28/2008,2611.84,2649.51,2611.78,2646.91
7/29/2008,2611.86,2653.31,2609.09,2648.08
7/30/2008,2678.5,2754.39,2678.5,2754.39
7/31/2008,2742.19,2760.21,2694.89,2752.49
8/1/2008,2729.13,2734.55,2700.99,2716.64
8/4/2008,2689.26,2717.45,2681.3,2684.34
8/5/2008,2677.95,2743.01,2677.43,2730.01
8/6/2008,2746.61,2746.61,2669.55,2669.55
8/7/2008,2662.1,2710.42,2630.48,2632.66
8/8/2008,2630.13,2648.65,2589.32,2608.95
8/11/2008,2641.51,2646.47,2617.97,2631.23
8/12/2008,2629.2,2683.23,2626.21,2675.61
8/13/2008,2657.55,2657.7,2628.31,2631.5
8/14/2008,2651.37,2665.67,2604.5,2620.53
8/18/2008,2616.99,2644.57,2606.6,2614.46
8/19/2008,2589.8,2601.6,2542.38,2546.49
